[2026-03-17 19:10:06] Logging to baseline_run.log
[2026-03-17 19:10:06] Starting FER2013 pipeline
[2026-03-17 19:10:06] Loading FER2013 data
[2026-03-17 19:10:06] Reading FER2013 CSV from ../fer2013.csv
[2026-03-17 19:10:09] Parsed 500/28709 rows from Training
[2026-03-17 19:10:09] Parsed 1000/28709 rows from Training
[2026-03-17 19:10:09] Parsed 1500/28709 rows from Training
[2026-03-17 19:10:09] Parsed 2000/28709 rows from Training
[2026-03-17 19:10:09] Parsed 2500/28709 rows from Training
[2026-03-17 19:10:09] Parsed 3000/28709 rows from Training
[2026-03-17 19:10:09] Parsed 3500/28709 rows from Training
[2026-03-17 19:10:09] Parsed 4000/28709 rows from Training
[2026-03-17 19:10:10] Parsed 4500/28709 rows from Training
[2026-03-17 19:10:10] Parsed 5000/28709 rows from Training
[2026-03-17 19:10:10] Parsed 5500/28709 rows from Training
[2026-03-17 19:10:10] Parsed 6000/28709 rows from Training
[2026-03-17 19:10:10] Parsed 6500/28709 rows from Training
[2026-03-17 19:10:10] Parsed 7000/28709 rows from Training
[2026-03-17 19:10:10] Parsed 7500/28709 rows from Training
[2026-03-17 19:10:10] Parsed 8000/28709 rows from Training
[2026-03-17 19:10:10] Parsed 8500/28709 rows from Training
[2026-03-17 19:10:11] Parsed 9000/28709 rows from Training
[2026-03-17 19:10:11] Parsed 9500/28709 rows from Training
[2026-03-17 19:10:11] Parsed 10000/28709 rows from Training
[2026-03-17 19:10:11] Parsed 10500/28709 rows from Training
[2026-03-17 19:10:11] Parsed 11000/28709 rows from Training
[2026-03-17 19:10:11] Parsed 11500/28709 rows from Training
[2026-03-17 19:10:11] Parsed 12000/28709 rows from Training
[2026-03-17 19:10:11] Parsed 12500/28709 rows from Training
[2026-03-17 19:10:11] Parsed 13000/28709 rows from Training
[2026-03-17 19:10:12] Parsed 13500/28709 rows from Training
[2026-03-17 19:10:12] Parsed 14000/28709 rows from Training
[2026-03-17 19:10:12] Parsed 14500/28709 rows from Training
[2026-03-17 19:10:12] Parsed 15000/28709 rows from Training
[2026-03-17 19:10:12] Parsed 15500/28709 rows from Training
[2026-03-17 19:10:12] Parsed 16000/28709 rows from Training
[2026-03-17 19:10:12] Parsed 16500/28709 rows from Training
[2026-03-17 19:10:12] Parsed 17000/28709 rows from Training
[2026-03-17 19:10:12] Parsed 17500/28709 rows from Training
[2026-03-17 19:10:13] Parsed 18000/28709 rows from Training
[2026-03-17 19:10:13] Parsed 18500/28709 rows from Training
[2026-03-17 19:10:13] Parsed 19000/28709 rows from Training
[2026-03-17 19:10:13] Parsed 19500/28709 rows from Training
[2026-03-17 19:10:13] Parsed 20000/28709 rows from Training
[2026-03-17 19:10:13] Parsed 20500/28709 rows from Training
[2026-03-17 19:10:13] Parsed 21000/28709 rows from Training
[2026-03-17 19:10:13] Parsed 21500/28709 rows from Training
[2026-03-17 19:10:13] Parsed 22000/28709 rows from Training
[2026-03-17 19:10:14] Parsed 22500/28709 rows from Training
[2026-03-17 19:10:14] Parsed 23000/28709 rows from Training
[2026-03-17 19:10:14] Parsed 23500/28709 rows from Training
[2026-03-17 19:10:14] Parsed 24000/28709 rows from Training
[2026-03-17 19:10:14] Parsed 24500/28709 rows from Training
[2026-03-17 19:10:14] Parsed 25000/28709 rows from Training
[2026-03-17 19:10:14] Parsed 25500/28709 rows from Training
[2026-03-17 19:10:14] Parsed 26000/28709 rows from Training
[2026-03-17 19:10:14] Parsed 26500/28709 rows from Training
[2026-03-17 19:10:15] Parsed 27000/28709 rows from Training
[2026-03-17 19:10:15] Parsed 27500/28709 rows from Training
[2026-03-17 19:10:15] Parsed 28000/28709 rows from Training
[2026-03-17 19:10:15] Parsed 28500/28709 rows from Training
[2026-03-17 19:10:15] Parsed 28709/28709 rows from Training
[2026-03-17 19:10:15] Parsed 500/3589 rows from PublicTest
[2026-03-17 19:10:15] Parsed 1000/3589 rows from PublicTest
[2026-03-17 19:10:15] Parsed 1500/3589 rows from PublicTest
[2026-03-17 19:10:15] Parsed 2000/3589 rows from PublicTest
[2026-03-17 19:10:15] Parsed 2500/3589 rows from PublicTest
