[2026-04-24 14:42:05] Logging to logreg_numpy_numba.log
[2026-04-24 14:42:05] Starting FER2013 pipeline
[2026-04-24 14:42:05] Loading FER2013 data
[2026-04-24 14:42:05] Reading FER2013 CSV from fer2013.csv
[2026-04-24 14:42:08] Parsed 500/28709 rows from Training
[2026-04-24 14:42:08] Parsed 1000/28709 rows from Training
[2026-04-24 14:42:08] Parsed 1500/28709 rows from Training
[2026-04-24 14:42:08] Parsed 2000/28709 rows from Training
[2026-04-24 14:42:08] Parsed 2500/28709 rows from Training
[2026-04-24 14:42:08] Parsed 3000/28709 rows from Training
[2026-04-24 14:42:08] Parsed 3500/28709 rows from Training
[2026-04-24 14:42:09] Parsed 4000/28709 rows from Training
[2026-04-24 14:42:09] Parsed 4500/28709 rows from Training
[2026-04-24 14:42:09] Parsed 5000/28709 rows from Training
[2026-04-24 14:42:09] Parsed 5500/28709 rows from Training
[2026-04-24 14:42:09] Parsed 6000/28709 rows from Training
[2026-04-24 14:42:09] Parsed 6500/28709 rows from Training
[2026-04-24 14:42:09] Parsed 7000/28709 rows from Training
[2026-04-24 14:42:09] Parsed 7500/28709 rows from Training
[2026-04-24 14:42:09] Parsed 8000/28709 rows from Training
[2026-04-24 14:42:09] Parsed 8500/28709 rows from Training
[2026-04-24 14:42:10] Parsed 9000/28709 rows from Training
[2026-04-24 14:42:10] Parsed 9500/28709 rows from Training
[2026-04-24 14:42:10] Parsed 10000/28709 rows from Training
[2026-04-24 14:42:10] Parsed 10500/28709 rows from Training
[2026-04-24 14:42:10] Parsed 11000/28709 rows from Training
[2026-04-24 14:42:10] Parsed 11500/28709 rows from Training
[2026-04-24 14:42:10] Parsed 12000/28709 rows from Training
[2026-04-24 14:42:10] Parsed 12500/28709 rows from Training
[2026-04-24 14:42:10] Parsed 13000/28709 rows from Training
[2026-04-24 14:42:11] Parsed 13500/28709 rows from Training
[2026-04-24 14:42:11] Parsed 14000/28709 rows from Training
[2026-04-24 14:42:11] Parsed 14500/28709 rows from Training
[2026-04-24 14:42:11] Parsed 15000/28709 rows from Training
[2026-04-24 14:42:11] Parsed 15500/28709 rows from Training
[2026-04-24 14:42:11] Parsed 16000/28709 rows from Training
[2026-04-24 14:42:11] Parsed 16500/28709 rows from Training
[2026-04-24 14:42:11] Parsed 17000/28709 rows from Training
[2026-04-24 14:42:11] Parsed 17500/28709 rows from Training
[2026-04-24 14:42:11] Parsed 18000/28709 rows from Training
[2026-04-24 14:42:12] Parsed 18500/28709 rows from Training
[2026-04-24 14:42:12] Parsed 19000/28709 rows from Training
[2026-04-24 14:42:12] Parsed 19500/28709 rows from Training
[2026-04-24 14:42:12] Parsed 20000/28709 rows from Training
[2026-04-24 14:42:12] Parsed 20500/28709 rows from Training
[2026-04-24 14:42:12] Parsed 21000/28709 rows from Training
[2026-04-24 14:42:12] Parsed 21500/28709 rows from Training
[2026-04-24 14:42:12] Parsed 22000/28709 rows from Training
[2026-04-24 14:42:12] Parsed 22500/28709 rows from Training
[2026-04-24 14:42:13] Parsed 23000/28709 rows from Training
[2026-04-24 14:42:13] Parsed 23500/28709 rows from Training
[2026-04-24 14:42:13] Parsed 24000/28709 rows from Training
[2026-04-24 14:42:13] Parsed 24500/28709 rows from Training
[2026-04-24 14:42:13] Parsed 25000/28709 rows from Training
[2026-04-24 14:42:13] Parsed 25500/28709 rows from Training
[2026-04-24 14:42:13] Parsed 26000/28709 rows from Training
[2026-04-24 14:42:13] Parsed 26500/28709 rows from Training
[2026-04-24 14:42:13] Parsed 27000/28709 rows from Training
[2026-04-24 14:42:14] Parsed 27500/28709 rows from Training
[2026-04-24 14:42:14] Parsed 28000/28709 rows from Training
[2026-04-24 14:42:14] Parsed 28500/28709 rows from Training
[2026-04-24 14:42:14] Parsed 28709/28709 rows from Training
[2026-04-24 14:42:14] Parsed 500/3589 rows from PublicTest
[2026-04-24 14:42:14] Parsed 1000/3589 rows from PublicTest
[2026-04-24 14:42:14] Parsed 1500/3589 rows from PublicTest
[2026-04-24 14:42:14] Parsed 2000/3589 rows from PublicTest
[2026-04-24 14:42:14] Parsed 2500/3589 rows from PublicTest
[2026-04-24 14:42:14] Parsed 3000/3589 rows from PublicTest
[2026-04-24 14:42:15] Parsed 3500/3589 rows from PublicTest
[2026-04-24 14:42:15] Parsed 3589/3589 rows from PublicTest
[2026-04-24 14:42:15] Parsed 500/3589 rows from PrivateTest
[2026-04-24 14:42:15] Parsed 1000/3589 rows from PrivateTest
[2026-04-24 14:42:15] Parsed 1500/3589 rows from PrivateTest
[2026-04-24 14:42:15] Parsed 2000/3589 rows from PrivateTest
[2026-04-24 14:42:15] Parsed 2500/3589 rows from PrivateTest
[2026-04-24 14:42:15] Parsed 3000/3589 rows from PrivateTest
[2026-04-24 14:42:15] Parsed 3500/3589 rows from PrivateTest
[2026-04-24 14:42:15] Parsed 3589/3589 rows from PrivateTest
[2026-04-24 14:42:15] Dataset summary printed
[2026-04-24 14:42:15] Running correctness checks
[2026-04-24 14:42:16] Correctness check for numpy: max_abs_diff=0.000000e+00, max_rel_diff=0.000000e+00
[2026-04-24 14:42:16] Correctness check for numpy_numba: max_abs_diff=1.192093e-07, max_rel_diff=1.457730e-07
[2026-04-24 14:42:16] Extracting training features with numpy_numba
[2026-04-24 14:42:16] HOG train: processed 500/28709 images
[2026-04-24 14:42:16] HOG train: processed 1000/28709 images
[2026-04-24 14:42:16] HOG train: processed 1500/28709 images
[2026-04-24 14:42:16] HOG train: processed 2000/28709 images
[2026-04-24 14:42:16] HOG train: processed 2500/28709 images
[2026-04-24 14:42:16] HOG train: processed 3000/28709 images
[2026-04-24 14:42:16] HOG train: processed 3500/28709 images
[2026-04-24 14:42:16] HOG train: processed 4000/28709 images
[2026-04-24 14:42:16] HOG train: processed 4500/28709 images
[2026-04-24 14:42:16] HOG train: processed 5000/28709 images
[2026-04-24 14:42:16] HOG train: processed 5500/28709 images
[2026-04-24 14:42:16] HOG train: processed 6000/28709 images
[2026-04-24 14:42:16] HOG train: processed 6500/28709 images
[2026-04-24 14:42:16] HOG train: processed 7000/28709 images
[2026-04-24 14:42:16] HOG train: processed 7500/28709 images
[2026-04-24 14:42:16] HOG train: processed 8000/28709 images
[2026-04-24 14:42:16] HOG train: processed 8500/28709 images
[2026-04-24 14:42:16] HOG train: processed 9000/28709 images
[2026-04-24 14:42:16] HOG train: processed 9500/28709 images
[2026-04-24 14:42:16] HOG train: processed 10000/28709 images
[2026-04-24 14:42:16] HOG train: processed 10500/28709 images
[2026-04-24 14:42:16] HOG train: processed 11000/28709 images
[2026-04-24 14:42:16] HOG train: processed 11500/28709 images
[2026-04-24 14:42:16] HOG train: processed 12000/28709 images
[2026-04-24 14:42:16] HOG train: processed 12500/28709 images
[2026-04-24 14:42:16] HOG train: processed 13000/28709 images
[2026-04-24 14:42:17] HOG train: processed 13500/28709 images
[2026-04-24 14:42:17] HOG train: processed 14000/28709 images
[2026-04-24 14:42:17] HOG train: processed 14500/28709 images
[2026-04-24 14:42:17] HOG train: processed 15000/28709 images
[2026-04-24 14:42:17] HOG train: processed 15500/28709 images
[2026-04-24 14:42:17] HOG train: processed 16000/28709 images
[2026-04-24 14:42:17] HOG train: processed 16500/28709 images
[2026-04-24 14:42:17] HOG train: processed 17000/28709 images
[2026-04-24 14:42:17] HOG train: processed 17500/28709 images
[2026-04-24 14:42:17] HOG train: processed 18000/28709 images
[2026-04-24 14:42:17] HOG train: processed 18500/28709 images
[2026-04-24 14:42:17] HOG train: processed 19000/28709 images
[2026-04-24 14:42:17] HOG train: processed 19500/28709 images
[2026-04-24 14:42:17] HOG train: processed 20000/28709 images
[2026-04-24 14:42:17] HOG train: processed 20500/28709 images
